Source,Profile URL,GUID,Title,Genres,Developers,Publishers,Release Date,Expasion,Hardcopy,GOG,Image,Files,Encoding Error
"WK","https://en.wikipedia.org/wiki/Age_of_Empires_III","f27ae07b-2f07-cb7d-d261-697bc6d5059d","Age of Empires III","Real-time strategy","Ensemble Studios","Microsoft Game Studios (PC);; MacSoft & Destineer (Mac);; Glu (Windows Mobile, N-Gage)","October 18, 2005 Windows;; NA: October 18, 2005;; EU: November 4, 2005 OS X;; NA: November 21, 2006;; EU: September 29, 2006 N-Gage;; WW: April 28, 2009 Windows Mobile;; WW: April 30, 2009","","","","","",""
"WK","https://en.wikipedia.org/wiki/Black_%26_White_(video_game)","c15dd071-b946-f6a9-cf4c-b7193a731c90","Black & White","Simulation, god game","Lionhead Studios","Electronic Arts;; Feral Interactive (Mac)","Windows;; WW: 30 March 2001;; JP: 24 May 2001 Mac OS;; NA: January 2002","","","","","",""
"WK","https://en.wikipedia.org/wiki/Black_%26_White_2","24017c88-876e-7caf-8761-15234c796068","Black & White 2","Real-time strategy, god game","Lionhead Studios;; Robosoft Technologies (Mac OS X)","EA;; Feral Interactive (Mac OS X)","Windows;; NA: 4 October 2005;; EU: 7 October 2005 Mac OS X;; NA: 6 January 2009","","","","","",""
"WK","https://en.wikipedia.org/wiki/BloodRayne","f950403a-a09f-2f97-5559-c59c57d59363","BloodRayne","Action, hack and slash","Terminal Reality","Majesco Entertainment PlayStation 2, Xbox & GameCube;; NA: Majesco Entertainment;; EU: Vivendi Universal Games;; NA: Sony Computer Entertainment America (PSN) OS X;; NA: Aspyr Microsoft Windows;; Majesco Entertainment","October 15, 2002 PlayStation 2, Xbox & GameCube;; NA: October 15, 2002;; EU: May 2, 2003;; EU: May 23, 2003 (GC);; NA: November 1, 2011 (PSN) OS X;; NA: May 9, 2003 Microsoft Windows;; NA: September 13, 2003;; EU: May 2005;; NA: September 14, 2006","","","","","",""
"WK","https://en.wikipedia.org/wiki/Call_of_Duty_2","102e9c81-728b-67ac-1e3c-f9552dd5f684","Call of Duty 2","First-person shooter","Infinity Ward","WW: Activision;; NA: Aspyr (Mac)","October 25, 2005 Microsoft Windows;; WW: October 25, 2005 Xbox 360;; NA: November 22, 2005;; EU: December 2, 2005 Mobile;; NA: January 5, 2006 OS X;; NA: 2006;; EU: June 1, 2006","","","","","",""
"WK","https://en.wikipedia.org/wiki/Civilization:_Beyond_Earth","7c27aab7-7735-dae4-2ca8-de41b47ab8b8","Civilization: Beyond Earth","Turn-based strategy ,4X","Firaxis Games","2K Games","Microsoft Windows;; WW: October 24, 2014 Mac;; WW: November 26, 2014 Linux;; WW: December 18, 2014","","","","","",""
"WK","https://en.wikipedia.org/wiki/Civilization_(video_game)","3597217f-2841-8a12-a21c-bb381aa77ece","Civilization","Turn-based strategy","MPS Labs","MicroProse","September, 1991","","","","","",""
"WK","https://en.wikipedia.org/wiki/Civilization_II:_Conflicts_in_Civilization","d6f0653e-2d33-5600-dcdc-7c47dbb99657","Civilization II: Conflicts in Civilization","Turn-based strategy","MicroProse","MicroProse","1996","","","","","",""
"WK","https://en.wikipedia.org/wiki/Civilization_IV:_Beyond_the_Sword","aa7fabcd-5ec1-b8f5-1a75-2d3e52714613","Civilization IV: Beyond the Sword","Turn-based strategy","Firaxis Games","2K Games (Win);; Aspyr (Mac)","AU: July 18, 2007;; UK: July 20, 2007;; NA: July 23, 2007","","","","","",""
"WK","https://en.wikipedia.org/wiki/Civilization_IV:_Warlords","e0f239ed-0b25-02fc-579a-7916e2b6735c","Civilization IV: Warlords","Turn-based strategy","Firaxis Games","2K Games (Win);; Aspyr (Mac)","NA: July 24, 2006;; EU: July 28, 2006","","","","","",""
"WK","https://en.wikipedia.org/wiki/Civilization_V","8abd8488-6de8-87e8-5796-6f5614afdd74","Civilization V","Turn-based strategy, 4X","Firaxis Games","2K Games (Windows);; Aspyr (OS X, Linux)","Microsoft Windows;; NA: September 21, 2010;; EU: September 24, 2010 OS X;; November 23, 2010;; Linux;; June 10, 2014","","","","","",""
"WK","https://en.wikipedia.org/wiki/Command_%26_Conquer:_Red_Alert","b0ae7052-0905-4f37-f1d5-37f874f6977d","Command & Conquer: Red Alert","Real-time strategy","Westwood Studios","Virgin Interactive Entertainment","PC;; NA: November 22, 1996;; EU: 1996 PlayStation;; NA: October 31, 1997;; EU: November 1997 PlayStation 3;; PAL: March 27, 2008;; NA: November 12, 2009","","","","","",""
